Position, RaceName,Date,Time,Winner
224,Carnethy 5 Hill Race,16/02/2013,1:11:20,143.3%
36,Cort-ma Law Hill Race,10/06/2009,0:58:54,121.2%
12,Cort-ma Law Hill Race,11/06/2008,0:53:57,111.8%
38,Isle of Jura Fell Race,24/05/2008,4:13:14,134.8%
11,Whangie Whizz,23/04/2008,0:32:25,111.4%
50,Carnethy 5 Hill Race,16/02/2008,0:59:06,125.3%
28,Two Breweries Hill Race,22/09/2007,3:35:26,128.9%
10,Dollar Hill Race,07/07/2007,1:30:59,107.8%
8,Arrochar Alps,30/06/2007,4:02:07,113.1%
27,Whangie Whizz,25/04/2007,0:34:01,120.6%
88,Carnethy 5 Hill Race,17/02/2007,1:03:00,131.3%
104,Carnethy 5 Hill Race,11/02/2006,1:04:27,132.0%
